timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1767107491571249700,0.31547868251800537,-12.028775215148926,1273.0456638336182,1347.0955538749695,1872.989902496338,1222.819390296936,154.0,92.5,1,1,0,0
1767107491637132700,0.6387192010879517,-13.397313117980957,1260.782175064087,1240.3867542743683,1796.627368927002,1222.819390296936,211.0,129.5,1,1,0,0
1767107491700563500,0.6878583431243896,-13.222752571105957,1255.971622467041,1275.9965550899506,1273.0456638336182,1240.3867542743683,203.5,127.0,1,1,0,0
1767107491766054800,1.3572725057601929,-13.196310997009277,1423.0947875976562,1230.984367132187,1423.0947875976562,1230.984367132187,217.0,115.0,1,1,0,0
1767107491843554400,1.1773242950439453,-13.877281188964844,1221.2168884277344,1243.0582666397095,1273.0456638336182,1240.3867542743683,192.0,115.5,1,1,0,0
1767107491907584300,1.1919859647750854,-13.455047607421875,1254.4567108154297,1345.2727031707764,1273.0456638336182,1240.3867542743683,182.0,140.5,1,1,0,0
1767107491972786700,0.42213624715805054,-11.818778991699219,1180.1517963409424,1467.5131022930145,1273.0456638336182,1240.3867542743683,175.5,134.5,1,1,0,0
1767107492036795300,-0.28552913665771484,-10.92705249786377,1131.3773918151855,1395.6576561927795,1254.4567108154297,1243.0582666397095,164.5,118.5,1,1,0,0
1767107492102626900,-0.5572828650474548,-11.164933204650879,1099.4502639770508,1387.1688187122345,1254.4567108154297,1345.2727031707764,139.5,129.5,1,1,0,0
1767107492168060400,-0.45255351066589355,-12.094891548156738,1099.0239429473877,1380.6553959846497,1180.1517963409424,1380.6553959846497,156.5,133.0,1,1,0,0
1767107492242994700,0.07887600362300873,-11.141164779663086,1215.792474746704,1375.7599246501923,1215.792474746704,1375.7599246501923,153.5,113.0,1,1,0,0
1767107492306168700,-0.21518482267856598,-10.263741493225098,1191.6682147979736,1236.0021793842316,1191.6682147979736,1345.2727031707764,160.0,122.0,1,1,0,0
1767107492371050300,-0.023994039744138718,-11.422483444213867,1188.9139080047607,1413.6045956611633,1188.9139080047607,1380.6553959846497,157.5,126.5,1,1,0,0
1767107492435746000,0.44036370515823364,-12.312539100646973,1201.2729263305664,1479.5899951457977,1201.2729263305664,1375.7599246501923,162.5,120.5,1,1,0,0
1767107492498566400,1.6054904460906982,-9.981447219848633,1621.5741348266602,1239.6930706501007,1191.6682147979736,1345.2727031707764,151.0,123.5,1,1,0,0
1767107492581008200,-0.8849858045578003,-10.526579856872559,1052.942476272583,1248.3407485485077,1188.9139080047607,1375.7599246501923,164.0,132.0,1,1,0,0
1767107492647518100,-0.44044947624206543,-11.333654403686523,1097.2125720977783,1366.6288697719574,1191.6682147979736,1366.6288697719574,160.5,121.5,1,1,0,0
1767107492706422300,1.6943820714950562,-9.503767967224121,1587.279109954834,1193.1230878829956,1191.6682147979736,1345.2727031707764,170.0,122.0,1,1,0,0
1767107492771853600,0.5508362054824829,-8.986442565917969,1317.257480621338,1155.843290090561,1191.6682147979736,1345.2727031707764,156.5,126.5,1,1,0,0
1767107492835085800,0.815395176410675,-6.822139263153076,1410.1116943359375,550.9793168306351,1191.6682147979736,1345.2727031707764,146.5,118.0,1,1,0,0
1767107492916317600,0.48991096019744873,-8.909671783447266,1348.877935409546,1126.8959999084473,1317.257480621338,1193.1230878829956,143.5,111.0,1,1,0,0
1767107492979263100,1.588547706604004,-7.729051113128662,1686.2674713134766,699.8503983020782,1317.257480621338,1155.843290090561,147.0,125.0,1,1,0,0
1767107493043257000,0.5609999299049377,-9.84313678741455,1278.5145378112793,1329.8139095306396,1278.5145378112793,1329.8139095306396,150.0,129.5,1,1,0,0
1767107493107243600,1.471745252609253,-9.515765190124512,1538.9519691467285,1279.8602879047394,1317.257480621338,1193.1230878829956,136.0,139.5,1,1,0,0
1767107493170993000,0.9881327152252197,-8.412613868713379,1505.5403137207031,1000.7772874832153,1317.257480621338,1155.843290090561,135.0,110.0,1,1,0,0
1767107493249345500,1.53627347946167,-8.607710838317871,1727.1733474731445,937.7590656280518,1317.257480621338,1193.1230878829956,149.0,127.0,1,1,0,0
1767107493312618700,0.861130952835083,-10.944079399108887,1437.665319442749,1402.9497349262238,1437.665319442749,1193.1230878829956,157.5,108.5,1,1,0,0
1767107493378269000,0.5823956727981567,-11.684154510498047,1248.8817501068115,1473.8735747337341,1317.257480621338,1193.1230878829956,152.5,104.5,1,1,0,0
1767107493441423100,0.7713353037834167,-9.610006332397461,1498.1415367126465,1171.9210302829742,1437.665319442749,1193.1230878829956,145.0,121.5,1,1,0,0
1767107493505279600,1.4303284883499146,-11.307713508605957,1692.3683166503906,1359.4233083724976,1437.665319442749,1193.1230878829956,138.5,106.0,1,1,0,0
1767107493585698900,1.7773778438568115,-12.249935150146484,1933.7969970703125,1329.11230802536,1437.665319442749,1193.1230878829956,143.0,126.5,1,1,0,0
1767107493649431500,1.3440173864364624,-9.834691047668457,2302.7249336242676,1017.4421095848083,1498.1415367126465,1193.1230878829956,154.5,132.0,1,1,0,0
1767107493716454800,1.2858768701553345,-10.465254783630371,2487.0621299743652,1013.9353573322296,1692.3683166503906,1193.1230878829956,142.0,111.5,1,1,0,0
1767107493779169400,1.155334234237671,-10.736889839172363,2406.6894149780273,996.8813037872314,1933.7969970703125,1193.1230878829956,138.0,115.0,1,1,0,0
1767107493842813600,0.8176501393318176,-11.420310020446777,2352.3433113098145,1027.0902407169342,2302.7249336242676,1027.0902407169342,136.0,102.5,1,1,0,0
1767107493923869800,0.8034021258354187,-11.015088081359863,2228.365001678467,996.823947429657,2228.365001678467,1027.0902407169342,126.5,113.0,1,1,0,0
1767107493986350300,0.9509968161582947,-9.90853214263916,2573.4314918518066,718.4592533111572,2302.7249336242676,1027.0902407169342,139.0,113.0,1,1,0,0
1767107494049717000,1.318189263343811,-12.09341812133789,2228.1059646606445,1167.0845568180084,2302.7249336242676,1027.0902407169342,151.5,105.0,1,1,0,0
1767107494114550900,0.8203077912330627,-11.253918647766113,2531.44775390625,980.7756578922272,2302.7249336242676,1027.0902407169342,138.0,96.0,1,1,0,0
1767107494177937000,1.0968290567398071,-11.310967445373535,2391.7189979553223,1083.710331916809,2302.7249336242676,1027.0902407169342,156.5,117.5,1,1,0,0
1767107494242839800,1.0035096406936646,-10.400230407714844,2559.0143394470215,894.7858285903931,2302.7249336242676,1027.0902407169342,152.5,101.5,1,1,0,0
1767107494321488100,0.7159305214881897,-10.673755645751953,2769.4129943847656,738.3471840620041,2391.7189979553223,1027.0902407169342,145.0,107.0,1,1,0,0
1767107494385880100,1.0881417989730835,-11.530708312988281,2684.9789428710938,967.5080895423889,2391.7189979553223,1027.0902407169342,152.5,106.5,1,1,0,0
1767107494449652900,1.2348353862762451,-12.952202796936035,2105.2383041381836,1144.76820230484,2302.7249336242676,1027.0902407169342,134.5,113.5,1,1,0,0
1767107494516352400,0.7578978538513184,-13.586249351501465,1198.6257362365723,1281.4700317382812,2391.7189979553223,1027.0902407169342,156.0,86.5,1,1,0,0
1767107494577710000,0.8883557915687561,-13.460982322692871,1363.1097793579102,1229.333392381668,2302.7249336242676,1027.0902407169342,141.5,94.5,1,1,0,0
1767107494659348100,0.8787522315979004,-13.608667373657227,1317.5065612792969,1213.7553477287292,2105.2383041381836,1144.76820230484,184.5,125.5,1,1,0,0
1767107494723103200,-0.03494079038500786,-13.562511444091797,1032.6545906066895,1182.846064567566,1363.1097793579102,1182.846064567566,142.5,120.0,1,1,0,0
1767107494787312100,0.8707669377326965,-13.930280685424805,1240.9371757507324,1176.2268126010895,1363.1097793579102,1176.2268126010895,152.0,122.5,1,1,0,0
1767107494851256500,0.8642660975456238,-13.153960227966309,1369.8648262023926,1247.9958379268646,1369.8648262023926,1182.846064567566,148.5,132.0,1,1,0,0
1767107494914791000,0.252829909324646,-12.406441688537598,1211.8882083892822,1300.2930557727814,1363.1097793579102,1182.846064567566,148.0,116.0,1,1,0,0
1767107494996962600,0.9734583497047424,-13.208979606628418,1362.330265045166,1274.407957792282,1363.1097793579102,1182.846064567566,168.0,106.0,1,1,0,0
1767107495057200000,0.43813687562942505,-12.913750648498535,1406.1799621582031,1266.417464017868,1369.8648262023926,1247.9958379268646,201.5,100.5,1,1,0,0
1767107495121505000,1.4513453245162964,-13.15497875213623,1460.760383605957,1270.2723133563995,1363.1097793579102,1266.417464017868,129.5,107.5,1,1,0,0
1767107495186655300,1.2248594760894775,-11.725591659545898,2078.2529640197754,1172.965031862259,1369.8648262023926,1182.846064567566,162.0,99.5,1,1,0,0
1767107495250698800,1.5680879354476929,-12.913192749023438,1741.0262489318848,1334.8341357707977,1406.1799621582031,1266.417464017868,171.5,108.0,1,1,0,0
1767107495329485600,1.382083535194397,-13.1048583984375,1658.4900856018066,1309.5314848423004,1460.760383605957,1266.417464017868,177.5,100.5,1,1,0,0
1767107495395012100,1.664146065711975,-12.37573528289795,1775.7773780822754,1414.6191465854645,1658.4900856018066,1266.417464017868,186.5,116.0,1,1,0,0
1767107495460745000,1.5712209939956665,-12.44670581817627,1741.8879890441895,1379.2295014858246,1658.4900856018066,1309.5314848423004,179.5,125.5,1,1,0,0
1767107495523533300,1.5222722291946411,-11.46630573272705,2191.502094268799,1264.0480864048004,1658.4900856018066,1266.417464017868,188.0,118.0,1,1,0,0
1767107495587190600,1.8610005378723145,-11.533832550048828,2203.5080909729004,1257.5201797485352,1741.8879890441895,1266.417464017868,197.5,137.5,1,1,0,0
1767107495667591100,2.0624375343322754,-11.84784984588623,2009.7114944458008,1269.622950553894,1741.8879890441895,1269.622950553894,201.5,136.0,1,1,0,0
1767107495730264400,2.1124684810638428,-12.030013084411621,1933.8883209228516,1256.3287317752838,1933.8883209228516,1266.417464017868,200.5,134.0,1,1,0,0
1767107495794459800,1.3454173803329468,-13.352897644042969,1562.9086875915527,1177.091213464737,1741.8879890441895,1266.417464017868,187.5,118.0,1,1,0,0
1767107495857957100,1.6515127420425415,-13.187270164489746,1738.509521484375,1176.1939823627472,1741.8879890441895,1266.417464017868,180.0,119.5,1,1,0,0
1767107495923313700,1.2092396020889282,-13.40147590637207,2137.902717590332,1152.1120369434357,1933.8883209228516,1256.3287317752838,213.5,117.5,1,1,0,0
1767107496002527500,1.38956880569458,-13.679409980773926,1697.779598236084,1172.4649500846863,1741.8879890441895,1177.091213464737,175.0,135.0,1,1,0,0
1767107496069910100,1.5326756238937378,-13.824756622314453,2022.3893737792969,1103.0276441574097,1741.8879890441895,1176.1939823627472,189.5,103.0,1,1,0,0
1767107496131440700,1.5592204332351685,-13.742810249328613,1740.970458984375,1137.297681570053,1741.8879890441895,1172.4649500846863,178.5,103.0,1,1,0,0
1767107496193954300,2.0300941467285156,-13.151371955871582,1798.2845878601074,1143.3227062225342,1741.8879890441895,1172.4649500846863,193.0,89.0,1,1,0,0
1767107496257395300,1.764196753501892,-13.30756950378418,1671.9734001159668,1159.4328904151917,1741.8879890441895,1159.4328904151917,185.5,95.5,1,1,0,0
1767107496323641700,1.3687628507614136,-13.271430015563965,1975.9764289855957,1076.0850262641907,1741.8879890441895,1159.4328904151917,172.5,116.0,1,1,0,0
1767107496401651000,0.4676673412322998,-12.6281156539917,1333.851900100708,1289.0860676765442,1741.8879890441895,1172.4649500846863,141.5,99.5,1,1,0,0
1767107496465770800,1.0201083421707153,-11.069750785827637,1601.7781448364258,1394.3198239803314,1741.8879890441895,1159.4328904151917,196.0,109.0,1,1,0,0
1767107496530606100,0.7661105990409851,-8.71027660369873,1577.0532417297363,982.0045709609985,1741.8879890441895,1159.4328904151917,218.5,113.0,1,1,0,0
1767107496594672900,0.02640693262219429,-9.85466194152832,1300.5493354797363,1242.2436904907227,1601.7781448364258,1172.4649500846863,210.5,137.5,1,1,0,0
1767107496657870000,-0.5449897646903992,-8.058879852294922,1034.2328453063965,877.0523822307587,1601.7781448364258,1159.4328904151917,233.5,151.0,1,1,0,0
1767107496739009000,0.13689468801021576,-12.247156143188477,1141.3123798370361,1434.3710732460022,1577.0532417297363,1159.4328904151917,232.0,159.0,1,1,0,0
1767107496803401100,0.9455910325050354,-10.92104721069336,1444.328784942627,1364.4899797439575,1444.328784942627,1172.4649500846863,261.0,148.0,1,1,0,0
1767107496866015500,0.5594710111618042,-11.12746524810791,1331.033992767334,1456.4554917812347,1444.328784942627,1172.4649500846863,229.0,131.0,1,1,0,0
1767107496929467100,-0.7338511943817139,-12.576613426208496,965.7857036590576,1300.7524859905243,1444.328784942627,1300.7524859905243,254.5,148.0,1,1,0,0
1767107496995033400,0.7775018811225891,-11.313973426818848,1372.5727844238281,1478.143436908722,1444.328784942627,1300.7524859905243,234.5,158.5,1,1,0,0
1767107497077697200,0.12207762897014618,-11.239017486572266,1176.4946365356445,1436.112813949585,1372.5727844238281,1300.7524859905243,252.0,143.5,1,1,0,0
1767107497136971600,-0.21217699348926544,-12.055145263671875,1081.0629272460938,1406.9627487659454,1372.5727844238281,1300.7524859905243,211.0,147.5,1,1,0,0
1767107497201066300,0.25706934928894043,-11.005152702331543,1260.011329650879,1314.5714092254639,1372.5727844238281,1314.5714092254639,183.5,90.5,1,1,0,0
1767107497266669700,0.6762455105781555,-10.41393756866455,1568.2557678222656,1222.2968101501465,1372.5727844238281,1300.7524859905243,191.0,123.0,1,1,0,0
1767107497331470900,-0.9742103219032288,-12.794360160827637,869.4792079925537,1259.2371046543121,1372.5727844238281,1300.7524859905243,216.5,117.5,1,1,0,0
1767107497409646500,-0.26492011547088623,-12.434362411499023,1032.295217514038,1377.6691961288452,1372.5727844238281,1314.5714092254639,227.0,136.5,1,1,0,0
1767107497473613800,2.0124282836914062,-11.5861177444458,1852.9781341552734,1434.5103120803833,1372.5727844238281,1300.7524859905243,197.5,134.0,1,1,0,0
1767107497541027400,-0.3168107867240906,-12.450661659240723,1044.100456237793,1369.274504184723,1372.5727844238281,1314.5714092254639,201.5,133.5,1,1,0,0
1767107497602692900,0.36766517162323,-12.828812599182129,1202.6774597167969,1388.9262020587921,1372.5727844238281,1369.274504184723,204.0,131.0,1,1,0,0
1767107497664986700,1.4322549104690552,-12.005681991577148,1525.5737113952637,1524.2536997795105,1372.5727844238281,1369.274504184723,209.5,143.5,1,1,0,0
1767107497747111500,1.7357629537582397,-12.19150161743164,1649.5631790161133,1455.0657105445862,1372.5727844238281,1369.274504184723,216.0,147.5,1,1,0,0
1767107497809111700,1.6931860446929932,-11.15610408782959,1785.8868598937988,1326.4777779579163,1372.5727844238281,1369.274504184723,218.5,155.0,1,1,0,0
1767107497873003000,1.704079031944275,-10.767722129821777,2221.5764808654785,1201.52463555336,1525.5737113952637,1369.274504184723,221.5,112.0,1,1,0,0
1767107497937218300,1.7784456014633179,-11.575078010559082,1708.3039855957031,1449.1886150836945,1649.5631790161133,1369.274504184723,209.5,159.5,1,1,0,0
1767107498011827600,1.7967981100082397,-10.803571701049805,1690.9375190734863,1418.2255482673645,1690.9375190734863,1369.274504184723,187.0,159.5,1,1,0,0
1767107498083407700,2.1617064476013184,-10.397440910339355,1937.8688049316406,1258.2871520519257,1690.9375190734863,1369.274504184723,214.5,160.0,1,1,0,0
1767107498147125600,2.337911605834961,-9.800841331481934,2177.09867477417,1119.8017716407776,1690.9375190734863,1369.274504184723,214.5,160.0,1,1,0,0
1767107498210672800,2.236341714859009,-10.779420852661133,1882.364501953125,1307.1393191814423,1690.9375190734863,1369.274504184723,213.5,163.5,1,1,0,0
1767107498272896400,1.5069448947906494,-11.220244407653809,1427.8877449035645,1481.3486337661743,1690.9375190734863,1369.274504184723,219.5,188.5,1,1,0,0
1767107498338636000,1.8134225606918335,-9.284623146057129,1699.035301208496,1148.0519020557404,1690.9375190734863,1369.274504184723,212.5,160.5,1,1,0,0
1767107498404648100,1.4592229127883911,-10.369519233703613,1442.8753280639648,1359.3950164318085,1690.9375190734863,1369.274504184723,214.0,165.5,1,1,0,0
1767107498482739300,2.183323383331299,-8.845674514770508,2033.8700866699219,894.7317552566528,1690.9375190734863,1369.274504184723,211.5,161.5,1,1,0,0
